date,location,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon
2021-02-02,Chennai,30,23,26.6,21,72.6,0,0,0,,,20.5,75.6,1015,49.1,4.8,254.9,22.1,9,,2021-02-02 6:35:07,2021-02-02 18:10:14,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-03,Chennai,30,23,26.3,19,64.9,0,0,0,,,24.1,71.1,1014.7,44.3,5.3,255.5,22.1,9,,2021-02-03 6:34:56,2021-02-03 18:10:38,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-04,Chennai,30,21,25.4,18,65.7,0,0,0,,,22.3,72.6,1014.7,32.9,5.3,244.4,21,9,,2021-02-04 6:34:44,2021-02-04 18:11:02,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-05,Chennai,29.6,20,25,17.7,65.5,0,0,0,,,22.3,62.4,1013.9,39,5.1,263.1,22.8,9,,2021-02-05 6:34:31,2021-02-05 18:11:25,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-06,Chennai,30,20,25,18.2,67.7,0,0,0,,,24.1,59.6,1012.8,28.4,5.3,265.7,22.9,9,,2021-02-06 6:34:17,2021-02-06 18:11:47,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-07,Chennai,31,20,25.2,19,70.4,0,0,0,,,20.5,43.7,1012.9,26.5,5.1,275.9,23.7,9,,2021-02-07 6:34:03,2021-02-07 18:12:09,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-08,Chennai,31,19,25.5,18.4,68,0,0,0,,,27.7,62.6,1013.7,30.9,5.4,273.7,23.6,9,,2021-02-08 6:33:47,2021-02-08 18:12:31,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-09,Chennai,30,22,25.7,17.2,60.9,0,0,0,,,21.4,63.9,1012.9,46.9,5,269.9,23.3,9,,2021-02-09 6:33:30,2021-02-09 18:12:51,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-10,Chennai,30,22,25,17.6,64.5,0,0,0,,,16.6,64.1,1011.9,40.8,5.2,273.3,23.5,9,,2021-02-10 6:33:12,2021-02-10 18:13:11,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
2021-02-11,Chennai,29,20,24.5,16.7,64.4,0,0,0,,,18.4,91.9,1012.4,26.6,5.1,281.6,24.5,10,,2021-02-11 6:32:53,2021-02-11 18:13:31,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-12,Chennai,29,20,24.9,16.6,61,0,0,0,,,21.6,71.5,1013,35.4,5.5,269.1,23.2,9,,2021-02-12 6:32:33,2021-02-12 18:13:50,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-13,Chennai,30,21,24.9,18.7,69.3,0,0,0,,,18.4,69,1013.9,36,4.7,283.7,24.5,10,,2021-02-13 6:32:13,2021-02-13 18:14:08,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-14,Chennai,30,21.1,25,18.8,70.6,0,0,0,,,16.6,75.7,1013.6,26.9,6.1,289.1,25,10,,2021-02-14 6:31:51,2021-02-14 18:14:26,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-15,Chennai,30,21,25.2,19.8,73.3,0,0,0,,,18.4,87.9,1012.3,31.3,5.7,279.7,24.2,9,,2021-02-15 6:31:28,2021-02-15 18:14:43,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-16,Chennai,31,20,25.4,19.2,70.4,0,0,0,,,14.8,96.4,1011.9,25.2,5.9,277.2,23.9,10,,2021-02-16 6:31:05,2021-02-16 18:14:59,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-17,Chennai,29,22,25.5,19.2,69.1,0,0,0,,,14.8,95.3,1011.8,39.5,5.3,272.6,23.6,9,,2021-02-17 6:30:41,2021-02-17 18:15:15,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-18,Chennai,29.3,22,26,18.9,65.9,0,0,0,,37.1,27.7,84.9,1012.5,38.6,5.6,259,22.2,9,,2021-02-18 6:30:16,2021-02-18 18:15:31,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-19,Chennai,29.3,23,26.3,21.5,75.3,0.8,100,25,rain,,25.9,70.1,1012.1,63.8,5,221.5,19,8,,2021-02-19 6:29:50,2021-02-19 18:15:46,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
2021-02-20,Chennai,28.7,23,25.6,21.4,77.8,4.3,100,91.67,rain,46.4,27.7,56.3,1011.8,86,4.6,230.9,19.9,8,,2021-02-20 6:29:23,2021-02-20 18:16:00,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2021-02-21,Chennai,28.2,24,26,21.4,75.9,14.2,100,66.67,rain,37.1,27.7,78.2,1013.1,80.2,5.3,214.9,18.5,7,,2021-02-21 6:28:55,2021-02-21 18:16:14,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2021-02-22,Chennai,30.3,23,26.9,21.9,75.2,0,0,0,,,20.5,63.4,1013.5,44.8,5.3,276,23.9,9,,2021-02-22 6:28:27,2021-02-22 18:16:27,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-23,Chennai,31,23,26.5,21.5,75,0,0,0,,,18.4,75.8,1012.4,31.6,4.6,283.8,24.6,10,,2021-02-23 6:27:58,2021-02-23 18:16:40,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-24,Chennai,32,22,26.3,20.1,71.5,0,0,0,,,14.8,109.3,1011.6,28.3,4.9,270.6,23.6,10,,2021-02-24 6:27:28,2021-02-24 18:16:52,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-25,Chennai,32,22,26.3,20.5,72.5,0,0,0,,,14.8,110.2,1011.4,29.7,4.7,293.4,25.6,10,,2021-02-25 6:26:58,2021-02-25 18:17:03,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-26,Chennai,33,22,26.5,21.3,74.7,0,0,0,,,13,177.2,1009.6,27.6,5.2,287.9,24.8,10,,2021-02-26 6:26:27,2021-02-26 18:17:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-27,Chennai,33,22,26.7,21.4,75.1,0,0,0,,,13,185.2,1009,29.9,4.9,289.4,25.1,10,,2021-02-27 6:25:55,2021-02-27 18:17:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-28,Chennai,31,23,26.7,21.6,75.2,0,0,0,,,16.6,153.9,1009.7,31.8,5.6,286.8,24.8,10,,2021-02-28 6:25:23,2021-02-28 18:17:36,0.51,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
2021-03-01,Chennai,34,22,27.2,21.1,72.2,0,0,0,,,14.8,124.5,1012.6,29.4,5.8,291.6,25.2,10,,2021-03-01 6:24:50,2021-03-01 18:17:45,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-03-02,Chennai,33,23,27.4,20.4,68.6,0,0,0,,,14.8,134.9,1012.7,26.1,5.7,281.9,24.2,10,,2021-03-02 6:24:16,2021-03-02 18:17:55,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-03-03,Chennai,33,22,26.9,19.1,66.8,0,0,0,,,18.4,113.3,1012,22.4,5,287.4,24.6,10,,2021-03-03 6:23:42,2021-03-03 18:18:04,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-03-04,Chennai,31,22,26.6,19.3,66.4,0,0,0,,,16.5,104.6,1012.2,23.1,5.2,303.6,26.3,10,,2021-03-04 6:23:08,2021-03-04 18:18:12,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-03-05,Chennai,32,22,27,19.6,66.4,0,0,0,,,14.8,110,1013.1,30.1,5.6,303.7,26.2,10,,2021-03-05 6:22:33,2021-03-05 18:18:20,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
